Place,ID,Year,Region1,Region2,Type,CurrentOfstedOverall,MidYearPop,CPPAt3103,"Rate of children who were the subject of a child protection plan at 31 March per 10,000 children ",CLA_Mar2019,"Rate of children looked after at 31 March per 10,000 children aged under 18 years",CINAt3103,CINAt3103NoDisabled,Percentage of children in need at 31 March with a disability recorded,IDACI 2015: Average score (higher score is more deprived),Ppl_SqKm,PrimSecSpec_BME,% Minority Ethnic Pupils
Sheffield,373,2012-13,,,Metropolitan borough council,Good,114732,437,38,540,47,3860,507,13,0.24,1515,18536,29
Bradford,380,2012-13,,,Metropolitan borough council,Inadequate,138322,374,27,875,64,3744,462,12,0.25,1431,41777,53
Calderdale,381,2012-13,,,Metropolitan borough council,Good,45652,228,50,335,73,1933,179,9,0.21,564,6644,21
Kirklees,382,2012-13,,,Metropolitan borough council,Requires improvement to be good,97961,389,40,650,67,2720,228,8,0.19,1041,19819,36
Leeds,383,2012-13,,,Metropolitan borough council,Outstanding,158592,983,63,1375,88,6474,545,8,0.23,1373,25183,27
Wakefield,384,2012-13,,,Metropolitan borough council,Inadequate,68869,338,49,440,65,3441,221,6,0.22,968,4291,10
Gateshead,390,2012-13,,,Metropolitan borough council,Good,40088,170,42,390,96,1570,306,20,0.23,1407,1754,7
Newcastle upon Tyne,391,2012-13,,,Metropolitan borough council,Requires improvement to be good,55358,313,57,550,100,2235,491,22,0.27,2485,7362,24
North Tyneside,392,2012-13,,,Metropolitan borough council,Outstanding,40481,127,32,295,73,1547,127,8,0.2,2447,1643,7
South Tyneside,393,2012-13,,,Metropolitan borough council,Good,29426,111,38,320,108,1424,176,12,0.28,2303,1177,7
Sunderland,394,2012-13,,,Metropolitan borough council,Inadequate,54578,271,50,435,80,2353,363,15,0.26,2006,2100,6
Isles of Scilly,420,2012-13,,,Council of the Isles of Scilly,Good,379,0,0,0,0,13,8,62,0.01,139,11,5
Bath and North East Somerset,800,2012-13,,,Unitary,Good,34211,122,36,140,42,1334,138,10,0.12,512,2224,10
"Bristol, City of",801,2012-13,,,Unitary,Requires improvement to be good,90607,392,44,715,80,3712,872,24,0.25,3948,14342,33
North Somerset,802,2012-13,,,Unitary,Requires improvement to be good,42224,97,23,250,60,1283,204,16,0.15,547,2066,8
South Gloucestershire,803,2012-13,,,Unitary,Requires improvement to be good,56960,193,34,165,29,2111,246,12,0.12,536,3882,11
Hartlepool,805,2012-13,,,Unitary,Good,20188,136,67,185,92,1112,111,10,0.31,986,631,5
Middlesbrough,806,2012-13,,,Unitary,Inadequate,31730,272,86,360,114,2485,288,12,0.36,2574,3860,21
Redcar and Cleveland,807,2012-13,,,Unitary,Requires improvement to be good,27471,154,56,175,63,1369,266,19,0.27,551,628,4
Stockton-on-Tees,808,2012-13,,,Unitary,Requires improvement to be good,42337,369,88,360,86,2304,210,9,0.23,939,2260,9
"Kingston Upon Hull, City of",810,2012-13,,,Unitary,Inadequate,55219,330,60,650,118,2682,393,15,0.34,3597,3996,14
East Riding of Yorkshire,811,2012-13,,,Unitary,Inadequate,63426,234,37,335,53,1987,215,11,0.13,140,1839,4
North East Lincolnshire,812,2012-13,,,Unitary,Good,34426,231,67,200,58,2134,203,10,0.29,833,1155,6
North Lincolnshire,813,2012-13,,,Unitary,Outstanding,35356,82,23,165,47,689,144,21,0.21,199,2156,11
North Yorkshire,815,2012-13,,,County,Outstanding,118440,419,35,490,41,2912,466,16,0.11,75,4630,6
York,816,2012-13,,,Unitary,Good,36334,129,36,245,67,1209,114,9,0.12,734,1846,9
Luton,821,2012-13,,,Unitary,Inadequate,53657,191,36,385,73,2826,562,20,0.24,4740,21151,70
Bedford Borough,822,2012-13,,,Unitary,Requires improvement to be good,36782,107,30,245,68,1271,161,13,0.19,335,8421,37
Central Bedfordshire,823,2012-13,,,Unitary,Good,57964,266,47,245,43,1631,192,12,0.14,363,4236,12
Buckinghamshire,825,2012-13,,,County,Inadequate,117878,190,16,400,34,1973,322,16,0.1,327,18808,27
Milton Keynes,826,2012-13,,,Unitary,Requires improvement to be good,64240,40,6,280,45,1313,231,18,0.2,819,12926,35
Derbyshire,830,2012-13,,,County,Requires improvement to be good,154874,588,38,665,43,4410,805,18,0.17,304,4639,5
Derby,831,2012-13,,,Unitary,Good,57758,225,39,465,81,2144,266,12,0.25,3211,11621,34
Dorset,835,2012-13,,,County,,77343,243,32,350,45,2181,277,13,0.13,163,3252,7
Poole,836,2012-13,,,Unitary,0,29435,116,39,145,50,1068,232,22,0.16,2293,1715,10
Bournemouth,837,2012-13,,,Unitary,0,33480,215,66,265,81,1406,145,10,0.19,4034,3571,19
Durham,840,2012-13,,,Unitary,Requires improvement to be good,100222,409,41,630,63,0,0,0,0.24,231,2177,4
Darlington,841,2012-13,,,Unitary,Requires improvement to be good,22793,60,26,210,91,850,184,22,0.22,534,1110,8
East Sussex,845,2012-13,,,County,Outstanding,104952,546,52,595,57,4863,672,14,0.17,311,6055,11
Brighton and Hove,846,2012-13,,,Unitary,Good,50645,279,56,445,89,1812,229,13,0.18,3331,5809,21
Hampshire,850,2012-13,,,County,Outstanding,281744,909,32,1130,40,6502,1534,24,0.12,362,14651,10
Portsmouth,851,2012-13,,,Unitary,Good,42792,183,43,305,72,1296,195,15,0.24,5113,3589,17
Southampton,852,2012-13,,,Unitary,Requires improvement to be good,47771,232,49,485,103,2118,299,14,0.25,4779,7062,29
Leicestershire,855,2012-13,,,County,Requires improvement to be good,134631,393,29,435,32,3556,319,9,0.12,315,12678,15
Leicester,856,2012-13,,,Unitary,Requires improvement to be good,79540,531,68,520,66,2678,208,8,0.28,4528,27299,67
Rutland,857,2012-13,,,Unitary,Requires improvement to be good,7795,35,45,30,40,259,34,13,0.08,97,267,6
Staffordshire,860,2012-13,,,County,Good,170253,535,31,945,55,4903,813,17,0.15,325,8747,8
Stoke-on-Trent,861,2012-13,,,Unitary,Inadequate,55112,354,65,480,87,3095,381,12,0.29,2673,6815,23
Wiltshire,865,2012-13,,,Unitary,Good,103467,328,32,445,43,2378,350,15,0.11,147,5086,9
Swindon,866,2012-13,,,Unitary,Good,47978,147,31,250,53,1205,151,13,0.17,921,5385,20
Bracknell Forest,867,2012-13,,,Unitary,Good,27379,112,42,105,38,758,96,13,0.11,1052,2452,17
Windsor and Maidenhead,868,2012-13,,,Unitary,Good,33029,68,21,105,32,715,269,38,0.08,742,5391,30
West Berkshire,869,2012-13,,,Unitary,Good,35763,82,23,145,40,713,107,15,0.1,220,2853,13
Reading,870,2012-13,,,Unitary,Requires improvement to be good,35025,157,46,225,66,1221,165,14,0.2,3881,7336,47
Slough,871,2012-13,,,Unitary,Requires improvement to be good,38964,147,38,185,48,1132,153,14,0.2,4358,17214,79
Wokingham,872,2012-13,,,Unitary,Requires improvement to be good,36511,65,18,85,24,553,112,20,0.07,875,5289,25
Cambridgeshire,873,2012-13,,,County,Requires improvement to be good,129570,202,16,470,36,2631,551,21,0.13,205,12121,17
Peterborough,874,2012-13,,,Unitary,Good,45774,269,60,350,78,1597,210,13,0.25,543,11592,41
Halton,876,2012-13,,,Unitary,Requires improvement to be good,28167,78,28,145,52,1002,99,10,0.27,1590,577,4
Warrington,877,2012-13,,,Unitary,Good,44294,156,35,230,52,1040,148,14,0.15,1128,2323,8
Devon,878,2012-13,,,County,Inadequate,141532,446,32,695,49,4648,1399,30,0.14,115,4885,6
Plymouth,879,2012-13,,,Unitary,Requires improvement to be good,51288,300,59,370,73,2053,448,22,0.23,3229,2845,9
Torbay,880,2012-13,,,Unitary,Inadequate,24929,176,71,305,122,1513,320,21,0.24,2091,1135,7
Essex,881,2012-13,,,County,Outstanding,298341,547,18,1255,42,6737,1432,21,0.17,406,22183,13
Southend-on-Sea,882,2012-13,,,Unitary,Requires improvement to be good,37889,73,19,235,62,1058,255,24,0.23,4193,5055,20
Thurrock,883,2012-13,,,Unitary,Good,39446,203,52,260,67,1320,247,19,0.22,978,5915,28
Herefordshire,884,2012-13,,,Unitary,Requires improvement to be good,36099,197,55,215,60,1359,45,3,0.14,85,1645,8
Worcestershire,885,2012-13,,,County,Requires improvement to be good,115027,428,37,640,56,3148,430,14,0.16,327,6940,10
Kent,886,2012-13,,,County,Good,326092,999,31,1825,56,8827,1496,17,0.18,418,29531,15
Medway,887,2012-13,,,Unitary,Inadequate,61815,200,33,410,67,1812,365,20,0.22,1385,7391,20
Lancashire,888,2012-13,,,County,Requires improvement to be good,243886,883,36,1475,61,5778,70,1,0.18,405,23004,16
Blackburn with Darwen,889,2012-13,,,Unitary,Good,38585,141,37,345,89,1675,158,9,0.24,1079,10402,48
Blackpool,890,2012-13,,,Unitary,Inadequate,29057,337,116,480,166,1634,180,11,0.33,4075,1356,8
Nottinghamshire,891,2012-13,,,County,Good,162680,786,49,880,54,7759,682,9,0.18,379,10608,11
Nottingham,892,2012-13,,,Unitary,Requires improvement to be good,63859,436,69,565,90,2587,614,24,0.35,4134,15166,46
Shropshire,893,2012-13,,,Unitary,Good,60036,214,35,240,40,1490,216,15,0.13,96,2105,6
Telford and Wrekin,894,2012-13,,,Unitary,Outstanding,38966,142,36,320,82,1312,192,15,0.25,578,3350,14
Cheshire East,895,2012-13,,,Unitary,Requires improvement to be good,74970,160,21,375,50,1901,172,9,0.12,319,3887,9
Cheshire West and Chester,896,2012-13,,,Unitary,Good,66122,212,32,385,58,1939,313,16,0.17,360,2690,6
Cornwall,908,2012-13,,,Unitary,Outstanding,104275,468,45,465,45,3267,745,23,0.18,152,3299,5
Cumbria,909,2012-13,,,County,Requires improvement to be good,94072,325,34,630,67,3172,464,15,0.16,74,2381,4
Gloucestershire,916,2012-13,,,County,Inadequate,122772,414,34,520,43,2846,195,7,0.15,227,9001,12
Hertfordshire,919,2012-13,,,County,Good,258427,578,23,1040,41,5458,1207,22,0.13,687,37227,24
Isle of Wight,921,2012-13,,,Unitary,Good,25719,101,39,180,69,1232,253,21,0.2,365,937,6
Lincolnshire,925,2012-13,,,County,Outstanding,140747,294,21,590,42,3383,389,12,0.18,121,8343,9
Norfolk,926,2012-13,,,County,Requires improvement to be good,166202,0,0,1080,65,0,0,0,0.18,161,9490,10
Northamptonshire,928,2012-13,,,County,Inadequate,159188,469,30,735,47,5991,432,7,0.17,296,17587,19
Northumberland,929,2012-13,,,Unitary,Good,60426,289,47,315,52,3153,417,13,0.19,63,1890,5
Oxfordshire,931,2012-13,,,County,Good,140173,430,31,415,30,3471,558,16,0.12,253,14820,19
Somerset,933,2012-13,,,County,Requires improvement to be good,108739,310,29,515,47,3769,698,19,0.15,155,4160,7
Suffolk,935,2012-13,,,County,Outstanding,150014,513,34,735,49,3661,739,20,0.15,193,9959,12
Surrey,936,2012-13,,,County,Inadequate,252390,890,36,830,33,5116,771,15,0.1,688,26080,20
Warwickshire,937,2012-13,,,County,Requires improvement to be good,111987,550,49,700,62,3461,303,9,0.14,278,9454,14
West Sussex,938,2012-13,,,County,Inadequate,167646,424,26,670,40,3534,604,17,0.13,410,13950,15
"Bournemouth, Christchurch and Poole",839,2012-13,South West,South West,Unitary,Not yet inspected,62915,331,53,410,66,2474,377,16,0.17,6327,5286,15
